humidity_bin,temp_bin,total,fail_count,fail_rate
2.5,23.75,1,0,0.0
7.5,16.25,1,0,0.0
7.5,18.75,2,0,0.0
7.5,21.25,1,0,0.0
7.5,23.75,7,0,0.0
7.5,26.25,2,0,0.0
12.5,13.75,2,0,0.0
12.5,16.25,7,1,14.2857
12.5,18.75,25,4,16.0
12.5,21.25,56,2,3.5714
12.5,23.75,67,2,2.9851
12.5,26.25,43,2,4.6512
12.5,28.75,10,0,0.0
12.5,31.25,2,0,0.0
17.5,13.75,8,0,0.0
17.5,16.25,64,3,4.6875
17.5,18.75,275,15,5.4545
17.5,21.25,637,32,5.0235
17.5,23.75,733,29,3.9563
17.5,26.25,398,15,3.7688
17.5,28.75,129,7,5.4264
17.5,31.25,23,1,4.3478
17.5,33.75,1,0,0.0
22.5,8.75,1,0,0.0
22.5,11.25,5,0,0.0
22.5,13.75,60,1,1.6667
22.5,16.25,428,25,5.8411
22.5,18.75,1959,85,4.3389
22.5,21.25,4449,202,4.5403
22.5,23.75,4936,207,4.1937
22.5,26.25,2937,122,4.1539
22.5,28.75,875,38,4.3429
22.5,31.25,141,6,4.2553
22.5,33.75,15,0,0.0
27.5,11.25,23,1,4.3478
27.5,13.75,271,16,5.9041
27.5,16.25,2014,97,4.8163
27.5,18.75,8649,371,4.2895
27.5,21.25,19793,871,4.4005
27.5,23.75,22397,898,4.0095
27.5,26.25,13621,589,4.3242
27.5,28.75,4175,175,4.1916
27.5,31.25,671,20,2.9806
27.5,33.75,62,2,3.2258
32.5,8.75,2,0,0.0
32.5,11.25,57,2,3.5088
32.5,13.75,759,38,5.0066
32.5,16.25,6516,261,4.0055
32.5,18.75,27264,1083,3.9723
32.5,21.25,60655,2498,4.1184
32.5,23.75,70316,2903,4.1285
32.5,26.25,42584,1665,3.9099
32.5,28.75,13164,533,4.0489
32.5,31.25,2110,70,3.3175
32.5,33.75,195,8,4.1026
32.5,36.25,5,0,0.0
37.5,8.75,5,0,0.0
37.5,11.25,102,3,2.9412
37.5,13.75,1610,58,3.6025
37.5,16.25,13625,539,3.956
37.5,18.75,58310,2390,4.0988
37.5,21.25,130571,5306,4.0637
37.5,23.75,151086,6299,4.1691
37.5,26.25,90711,3681,4.0579
37.5,28.75,27955,1172,4.1925
37.5,31.25,4571,197,4.3098
37.5,33.75,385,16,4.1558
37.5,36.25,13,1,7.6923
42.5,8.75,4,0,0.0
42.5,11.25,163,7,4.2945
42.5,13.75,2414,89,3.6868
42.5,16.25,19956,811,4.0639
42.5,18.75,85828,3521,4.1024
42.5,21.25,190739,7862,4.1219
42.5,23.75,220702,8975,4.0666
42.5,26.25,131873,5203,3.9455
42.5,28.75,40914,1741,4.2553
42.5,31.25,6638,262,3.947
42.5,33.75,582,19,3.2646
42.5,36.25,26,1,3.8462
47.5,8.75,8,0,0.0
47.5,11.25,163,5,3.0675
47.5,13.75,2527,114,4.5113
47.5,16.25,19980,801,4.009
47.5,18.75,86236,3404,3.9473
47.5,21.25,191892,7825,4.0778
47.5,23.75,221471,8962,4.0466
47.5,26.25,132603,5525,4.1666
47.5,28.75,41250,1743,4.2255
47.5,31.25,6717,268,3.9899
47.5,33.75,497,20,4.0241
47.5,36.25,10,2,20.0
52.5,8.75,1,0,0.0
52.5,11.25,96,6,6.25
52.5,13.75,1594,54,3.3877
52.5,16.25,13572,545,4.0156
52.5,18.75,59322,2440,4.1131
52.5,21.25,132315,5353,4.0456
52.5,23.75,152862,6154,4.0259
52.5,26.25,91461,3710,4.0564
52.5,28.75,28490,1110,3.8961
52.5,31.25,4525,184,4.0663
52.5,33.75,364,15,4.1209
52.5,36.25,18,0,0.0
57.5,8.75,1,0,0.0
57.5,11.25,50,0,0.0
57.5,13.75,797,29,3.6386
57.5,16.25,6527,234,3.5851
57.5,18.75,27851,1103,3.9604
57.5,21.25,61530,2525,4.1037
57.5,23.75,71762,2917,4.0648
57.5,26.25,42617,1639,3.8459
57.5,28.75,13417,551,4.1067
57.5,31.25,2138,84,3.9289
57.5,33.75,179,9,5.0279
57.5,36.25,15,0,0.0
62.5,11.25,18,1,5.5556
62.5,13.75,257,15,5.8366
62.5,16.25,2112,74,3.5038
62.5,18.75,9096,407,4.4745
62.5,21.25,19962,779,3.9024
62.5,23.75,23411,920,3.9298
62.5,26.25,13912,578,4.1547
62.5,28.75,4365,185,4.2383
62.5,31.25,701,32,4.5649
62.5,33.75,52,1,1.9231
67.5,11.25,3,0,0.0
67.5,13.75,46,2,4.3478
67.5,16.25,444,20,4.5045
67.5,18.75,2044,77,3.7671
67.5,21.25,4302,157,3.6495
67.5,23.75,5148,193,3.749
67.5,26.25,3019,115,3.8092
67.5,28.75,984,29,2.9472
67.5,31.25,169,13,7.6923
67.5,33.75,13,0,0.0
67.5,36.25,1,0,0.0
67.5,38.75,1,0,0.0
72.5,13.75,8,1,12.5
72.5,16.25,67,1,1.4925
72.5,18.75,292,11,3.7671
72.5,21.25,646,30,4.644
72.5,23.75,730,28,3.8356
72.5,26.25,494,22,4.4534
72.5,28.75,156,7,4.4872
72.5,31.25,25,0,0.0
72.5,33.75,2,0,0.0
77.5,16.25,9,2,22.2222
77.5,18.75,35,1,2.8571
77.5,21.25,69,4,5.7971
77.5,23.75,82,2,2.439
77.5,26.25,50,0,0.0
77.5,28.75,17,1,5.8824
77.5,31.25,1,0,0.0
82.5,18.75,1,0,0.0
82.5,21.25,5,0,0.0
82.5,23.75,4,0,0.0
82.5,26.25,1,0,0.0
82.5,28.75,2,0,0.0
