ym,plant_code,line_code,total,fail_count,yield_rate
2023-01,ASN,AS1,10284,406,96.05
2023-01,ASN,AS2,10236,409,96.0
2023-01,ASN,AS3,10561,434,95.89
2023-01,GWJ,GW1,9087,361,96.03
2023-01,GWJ,GW2,9249,372,95.98
2023-01,HWS,HW1,6223,278,95.53
2023-01,HWS,HW2,6123,261,95.74
2023-01,HWS,HW3,6051,239,96.05
2023-01,ULN,UL1,11125,451,95.95
2023-01,ULN,UL2,11203,467,95.83
2023-01,ULN,UL3,10964,441,95.98
2023-01,ULN,UL4,11052,483,95.63
2023-01,ULN,UL5,11300,449,96.03
2023-02,ASN,AS1,9344,392,95.8
2023-02,ASN,AS2,9258,362,96.09
2023-02,ASN,AS3,9294,378,95.93
2023-02,GWJ,GW1,8358,365,95.63
2023-02,GWJ,GW2,8280,352,95.75
2023-02,HWS,HW1,5550,199,96.41
2023-02,HWS,HW2,5579,228,95.91
2023-02,HWS,HW3,5481,231,95.79
2023-02,ULN,UL1,9950,388,96.1
2023-02,ULN,UL2,10166,417,95.9
2023-02,ULN,UL3,9796,385,96.07
2023-02,ULN,UL4,10045,421,95.81
2023-02,ULN,UL5,9794,392,96.0
2023-03,ASN,AS1,10200,395,96.13
2023-03,ASN,AS2,10332,387,96.25
2023-03,ASN,AS3,10241,387,96.22
2023-03,GWJ,GW1,9177,393,95.72
2023-03,GWJ,GW2,9236,360,96.1
2023-03,HWS,HW1,6184,252,95.92
2023-03,HWS,HW2,6181,243,96.07
2023-03,HWS,HW3,6231,258,95.86
2023-03,ULN,UL1,11206,417,96.28
2023-03,ULN,UL2,11022,454,95.88
2023-03,ULN,UL3,10913,438,95.99
2023-03,ULN,UL4,11142,439,96.06
2023-03,ULN,UL5,11093,472,95.75
2023-04,ASN,AS1,10150,402,96.04
2023-04,ASN,AS2,10119,410,95.95
2023-04,ASN,AS3,9983,413,95.86
2023-04,GWJ,GW1,9041,358,96.04
2023-04,GWJ,GW2,8856,337,96.19
2023-04,HWS,HW1,5917,223,96.23
2023-04,HWS,HW2,5890,259,95.6
2023-04,HWS,HW3,6100,242,96.03
2023-04,ULN,UL1,10816,447,95.87
2023-04,ULN,UL2,10895,450,95.87
2023-04,ULN,UL3,10819,425,96.07
2023-04,ULN,UL4,10592,422,96.02
2023-04,ULN,UL5,10695,504,95.29
2023-05,ASN,AS1,10320,449,95.65
2023-05,ASN,AS2,10372,403,96.11
2023-05,ASN,AS3,10154,432,95.75
2023-05,GWJ,GW1,9135,378,95.86
2023-05,GWJ,GW2,9145,396,95.67
2023-05,HWS,HW1,6284,272,95.67
2023-05,HWS,HW2,6131,263,95.71
2023-05,HWS,HW3,6178,245,96.03
2023-05,ULN,UL1,11066,450,95.93
2023-05,ULN,UL2,11038,478,95.67
2023-05,ULN,UL3,11174,475,95.75
2023-05,ULN,UL4,11138,472,95.76
2023-05,ULN,UL5,11293,444,96.07
2023-06,ASN,AS1,9817,403,95.89
2023-06,ASN,AS2,9952,391,96.07
2023-06,ASN,AS3,10044,411,95.91
2023-06,GWJ,GW1,9080,381,95.8
2023-06,GWJ,GW2,8795,359,95.92
2023-06,HWS,HW1,6108,253,95.86
2023-06,HWS,HW2,5896,244,95.86
2023-06,HWS,HW3,5856,231,96.06
2023-06,ULN,UL1,10754,415,96.14
2023-06,ULN,UL2,10583,428,95.96
2023-06,ULN,UL3,10828,458,95.77
2023-06,ULN,UL4,10561,449,95.75
2023-06,ULN,UL5,10681,468,95.62
2023-07,ASN,AS1,10294,415,95.97
2023-07,ASN,AS2,10495,411,96.08
2023-07,ASN,AS3,10165,449,95.58
2023-07,GWJ,GW1,9189,382,95.84
2023-07,GWJ,GW2,9120,369,95.95
2023-07,HWS,HW1,6122,261,95.74
2023-07,HWS,HW2,6112,230,96.24
2023-07,HWS,HW3,6220,246,96.05
2023-07,ULN,UL1,10958,450,95.89
2023-07,ULN,UL2,11153,441,96.05
2023-07,ULN,UL3,11049,418,96.22
2023-07,ULN,UL4,11030,440,96.01
2023-07,ULN,UL5,10848,428,96.05
2023-08,ASN,AS1,10082,413,95.9
2023-08,ASN,AS2,10251,434,95.77
2023-08,ASN,AS3,10294,437,95.75
2023-08,GWJ,GW1,9243,377,95.92
2023-08,GWJ,GW2,9079,382,95.79
2023-08,HWS,HW1,6311,267,95.77
2023-08,HWS,HW2,6111,254,95.84
2023-08,HWS,HW3,6124,226,96.31
2023-08,ULN,UL1,11229,482,95.71
2023-08,ULN,UL2,11306,475,95.8
