date,plant_code,plant_name,shift,total,fail_count,yield_rate,avg_temp,avg_humidity,avg_takt
2023-01-01,ASN,아산공장,A,468,15,96.79,22.946581196581196,44.76602564102564,2.808739316239316
2023-01-01,ASN,아산공장,B,496,5,98.99,23.080645161290324,45.179637096774194,2.805141129032258
2023-01-01,ASN,아산공장,C,51,0,100.0,22.72352941176471,44.160784313725486,2.78078431372549
2023-01-01,GWJ,광주공장,A,271,14,94.83,22.75867158671587,44.55239852398524,2.8188560885608855
2023-01-01,GWJ,광주공장,B,305,12,96.07,23.007213114754098,44.99639344262295,2.7941639344262295
2023-01-01,GWJ,광주공장,C,37,2,94.59,23.68378378378378,44.25675675675676,2.786756756756757
2023-01-01,HWS,화성공장,A,299,15,94.98,23.059197324414715,45.70969899665552,2.806923076923077
2023-01-01,HWS,화성공장,B,297,11,96.3,23.052861952861953,44.020538720538724,2.785622895622896
2023-01-01,HWS,화성공장,C,20,0,100.0,23.2,44.565,2.7079999999999997
2023-01-01,ULN,울산공장,A,866,30,96.54,22.919399538106237,45.07990762124711,2.806963048498845
2023-01-01,ULN,울산공장,B,788,35,95.56,23.02728426395939,45.1741116751269,2.7981345177664974
2023-01-01,ULN,울산공장,C,102,4,96.08,22.99607843137255,43.54019607843138,2.817745098039216
2023-01-02,ASN,아산공장,A,493,20,95.94,23.219269776876267,44.617038539553754,2.8237119675456386
2023-01-02,ASN,아산공장,B,461,20,95.66,23.14273318872017,45.71540130151843,2.8158351409978306
2023-01-02,ASN,아산공장,C,51,2,96.08,22.862745098039216,41.66274509803922,2.8290196078431373
2023-01-02,GWJ,광주공장,A,287,10,96.52,23.122996515679443,45.52090592334495,2.788885017421603
2023-01-02,GWJ,광주공장,B,277,12,95.67,22.9101083032491,44.93176895306859,2.801624548736462
2023-01-02,GWJ,광주공장,C,39,2,94.87,23.441025641025643,44.45641025641026,2.8261538461538462
2023-01-02,HWS,화성공장,A,311,13,95.82,22.8540192926045,44.76109324758843,2.773022508038585
2023-01-02,HWS,화성공장,B,241,13,94.61,23.182157676348545,44.75684647302904,2.773319502074689
2023-01-02,HWS,화성공장,C,47,3,93.62,22.9,46.42553191489362,2.8372340425531912
2023-01-02,ULN,울산공장,A,850,36,95.76,22.94764705882353,44.900588235294116,2.8091764705882354
2023-01-02,ULN,울산공장,B,831,31,96.27,23.122984356197353,44.73898916967509,2.78072202166065
2023-01-02,ULN,울산공장,C,103,7,93.2,23.199029126213592,44.49029126213592,2.857184466019418
2023-01-03,ASN,아산공장,A,481,27,94.39,23.04802494802495,44.853430353430355,2.7967567567567566
2023-01-03,ASN,아산공장,B,487,15,96.92,23.076796714579054,45.09671457905544,2.8078850102669404
2023-01-03,ASN,아산공장,C,57,6,89.47,23.056140350877193,44.26491228070175,2.7966666666666664
2023-01-03,GWJ,광주공장,A,270,9,96.67,23.00074074074074,45.88851851851852,2.8198148148148148
2023-01-03,GWJ,광주공장,B,276,10,96.38,22.720289855072465,45.575,2.784710144927536
2023-01-03,GWJ,광주공장,C,29,2,93.1,22.73448275862069,44.77241379310345,2.8289655172413792
2023-01-03,HWS,화성공장,A,286,8,97.2,22.86048951048951,45.02097902097902,2.773916083916084
2023-01-03,HWS,화성공장,B,267,9,96.63,23.198501872659175,44.189513108614236,2.773071161048689
2023-01-03,HWS,화성공장,C,27,3,88.89,23.114814814814817,48.029629629629625,2.7629629629629626
2023-01-03,ULN,울산공장,A,862,40,95.36,22.907772621809745,45.05649651972158,2.7827030162412996
2023-01-03,ULN,울산공장,B,822,22,97.32,23.284063260340634,45.16873479318735,2.8155109489051093
2023-01-03,ULN,울산공장,C,116,7,93.97,22.71551724137931,45.092241379310344,2.758706896551724
2023-01-04,ASN,아산공장,A,443,23,94.81,23.054176072234764,45.237923250564336,2.8016478555304745
2023-01-04,ASN,아산공장,B,464,19,95.91,23.237068965517242,45.296982758620686,2.799030172413793
2023-01-04,ASN,아산공장,C,54,4,92.59,22.7,46.153703703703705,2.743888888888889
2023-01-04,GWJ,광주공장,A,249,10,95.98,22.81004016064257,45.16224899598394,2.8220883534136547
