defect_type_code,defect_type_name,zone_code,severity,n_samples,shift_A_ratio,shift_B_ratio,shift_C_ratio,dominant_shift,peak_hour,shift_start_ratio,avg_humidity,low_humidity_ratio,avg_temp,avg_rework_min,total_rework_min,rework_required_ratio,std_rework_time_min
CLP,클립마크,BUMPER_F,MINOR,728,0.4876373626373626,0.4368131868131868,0.07554945054945054,A,6,0.19917582417582416,44.711674,0.0054945056,23.014696,15.0,10920,0.29532967032967034,15
CLP,클립마크,BUMPER_R,MINOR,713,0.5049088359046283,0.42496493688639553,0.07012622720897616,A,6,0.22861150070126227,45.09467,0.004207574,23.020475,15.0,10695,0.26367461430575034,15
CLP,클립마크,FD,MINOR,686,0.44169096209912534,0.45335276967930027,0.10495626822157435,B,22,0.2478134110787172,44.91545,0.004373178,22.999271,15.0,10290,0.29591836734693877,15
CLP,클립마크,FF,MINOR,709,0.4795486600846262,0.42595204513399154,0.09449929478138223,A,7,0.22566995768688294,45.449505,0.007052186,23.0378,15.0,10635,0.29619181946403383,15
CLP,클립마크,HOOD,MINOR,710,0.49014084507042255,0.4211267605633803,0.08873239436619719,A,6,0.2323943661971831,44.85507,0.0042253523,23.060703,15.0,10650,0.32253521126760565,15
CLP,클립마크,QTR_L,MINOR,759,0.4519104084321476,0.45322793148880103,0.09486166007905138,B,21,0.23847167325428195,44.82042,0.0065876152,22.985376,15.0,11385,0.2885375494071146,15
CLP,클립마크,QTR_R,MINOR,710,0.5056338028169014,0.4140845070422535,0.08028169014084507,A,7,0.2112676056338028,44.060284,0.0042253523,23.07479,15.0,10650,0.3154929577464789,15
CLP,클립마크,RD,MINOR,676,0.46745562130177515,0.4452662721893491,0.08727810650887574,A,21,0.21449704142011836,44.85296,0.00591716,23.030178,15.0,10140,0.3091715976331361,15
CLP,클립마크,RF,MINOR,711,0.47538677918424754,0.44866385372714485,0.0759493670886076,A,7,0.23347398030942335,44.805065,0.0028129395,23.136707,15.0,10665,0.32489451476793246,15
CLP,클립마크,ROCKER,MINOR,679,0.4639175257731959,0.47569955817378495,0.060382916053019146,B,21,0.19293078055964655,44.713257,0.005891016,22.800442,15.0,10185,0.2930780559646539,15
CLP,클립마크,ROOF,MINOR,712,0.4747191011235955,0.4339887640449438,0.09129213483146068,A,22,0.24719101123595505,44.567135,0.007022472,23.118258,15.0,10680,0.30337078651685395,15
CLP,클립마크,TRUNK,MINOR,699,0.4721030042918455,0.43490701001430615,0.09298998569384835,A,21,0.23319027181688126,44.837482,0.011444922,22.911875,15.0,10485,0.3190271816881259,15
CRK,크랙,BUMPER_F,CRITICAL,575,0.4591304347826087,0.4469565217391304,0.09391304347826086,A,22,0.22782608695652173,45.232174,0.010434783,23.142958,90.0,51750,1.0,90
CRK,크랙,BUMPER_R,CRITICAL,554,0.48014440433212996,0.42418772563176893,0.09566787003610108,A,6,0.22743682310469315,45.128517,0.0072202166,23.11823,90.0,49860,1.0,90
CRK,크랙,FD,CRITICAL,577,0.49566724436741766,0.41421143847487,0.09012131715771231,A,21,0.22530329289428075,45.142635,0.008665511,22.938303,90.0,51930,1.0,90
CRK,크랙,FF,CRITICAL,562,0.45195729537366547,0.45729537366548045,0.09074733096085409,B,22,0.2188612099644128,44.909077,0.0071174377,22.856049,90.0,50580,1.0,90
CRK,크랙,HOOD,CRITICAL,583,0.45454545454545453,0.4614065180102916,0.08404802744425385,B,21,0.21269296740994853,44.82007,0.0034305318,22.9235,90.0,52470,1.0,90
CRK,크랙,QTR_L,CRITICAL,559,0.4561717352415027,0.4490161001788909,0.09481216457960644,A,21,0.22361359570661896,44.47442,0.008944544,22.886404,90.0,50310,1.0,90
CRK,크랙,QTR_R,CRITICAL,534,0.4794007490636704,0.43820224719101125,0.08239700374531835,A,6,0.2640449438202247,45.14457,0.0037453184,22.94382,90.0,48060,1.0,90
