epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.1373,1.29178,0.72283,1,0.65605,0.00022,0.00022,0.07822
2,74.1415,0.52809,0.69565,0.99457,1.79139,0.00043515,0.00043515,0.0554351
3,109.594,0.41423,0.91304,1,0.13965,0.00063512,0.00063512,0.0326351
4,144.897,0.47563,0.83696,1,0.52131,0.00081991,0.00081991,0.00981991
5,180.813,0.35489,0.91304,1,0.35036,0.000868,0.000868,0.000868
6,216.411,0.42027,0.99457,1,0.04937,0.000835,0.000835,0.000835
7,251.817,0.38563,0.72283,1,0.57783,0.000802,0.000802,0.000802
8,287.563,0.20228,0.91304,1,0.46463,0.000769,0.000769,0.000769
9,325.041,0.27761,1,1,0.04049,0.000736,0.000736,0.000736
10,361.716,0.26219,0.9837,1,0.04968,0.000703,0.000703,0.000703
11,397.292,0.25166,0.84239,1,0.46811,0.00067,0.00067,0.00067
12,432.659,0.18447,0.93478,1,0.11834,0.000637,0.000637,0.000637
13,469.315,0.21268,1,1,0.00414,0.000604,0.000604,0.000604
14,503.754,0.15309,1,1,0.00108,0.000571,0.000571,0.000571
15,538.435,0.18956,0.9837,1,0.04023,0.000538,0.000538,0.000538
16,573.213,0.22959,0.91304,1,0.74399,0.000505,0.000505,0.000505
17,608.621,0.14679,1,1,0.00076,0.000472,0.000472,0.000472
18,643.451,0.12087,1,1,0.01112,0.000439,0.000439,0.000439
19,678.901,0.16752,1,1,0.0072,0.000406,0.000406,0.000406
