epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.988,1.53093,2.93094,1.13307,0.13889,0.04844,0.09203,0.07911,1.26514,4.62732,1.02209,0.000326667,0.000326667,0.06766
2,369.213,1.23222,1.51004,1.04214,0.56805,0.63466,0.61344,0.42726,1.14341,2.3133,0.95986,0.00062733,0.00062733,0.0346273
3,544.671,1.19839,1.37737,1.03475,0.63725,0.84579,0.76876,0.56177,0.99987,1.07625,0.93591,0.000894993,0.000894993,0.00156166
4,720.054,1.09755,1.12777,1.00158,0.88527,0.78548,0.85194,0.6246,0.88045,0.87938,0.91099,0.0008515,0.0008515,0.0008515
5,894.484,1.10939,1.0645,1.01333,0.80711,0.79841,0.84763,0.62634,0.9972,1.021,0.93803,0.000802,0.000802,0.000802
6,1068.3,1.08691,1.01512,0.98382,0.83151,0.86453,0.88927,0.64202,0.87834,0.78639,0.89875,0.0007525,0.0007525,0.0007525
7,1242.12,1.0519,0.95353,0.98468,0.91114,0.82174,0.92138,0.67457,0.92842,0.83261,0.92642,0.000703,0.000703,0.000703
8,5421.23,0.98527,0.87371,0.96501,0.8641,0.87085,0.90022,0.66759,0.90618,0.75511,0.91136,0.0006535,0.0006535,0.0006535
9,5609.14,0.98484,0.85142,0.96838,0.85418,0.9447,0.91461,0.70403,0.77028,0.65591,0.89247,0.000604,0.000604,0.000604
10,5794.47,0.92866,0.78895,0.93929,0.93525,0.93443,0.97384,0.75687,0.72096,0.67624,0.87847,0.0005545,0.0005545,0.0005545
11,5978.1,0.90441,0.81581,0.929,0.96126,0.8969,0.94658,0.74824,0.7107,0.64746,0.87213,0.000505,0.000505,0.000505
12,6161.74,0.87349,0.74616,0.90892,0.89353,0.95671,0.94531,0.73236,0.69582,0.60925,0.87309,0.0004555,0.0004555,0.0004555
13,6347.85,0.85004,0.70316,0.90715,0.95094,0.93505,0.96874,0.76811,0.72094,0.59477,0.86823,0.000406,0.000406,0.000406
14,6526.98,0.87875,0.71666,0.9074,0.93358,0.95833,0.97843,0.79575,0.64295,0.55547,0.86135,0.0003565,0.0003565,0.0003565
15,6710.02,0.77469,0.65257,0.87979,0.95895,0.98161,0.98392,0.79545,0.61272,0.53543,0.85137,0.000307,0.000307,0.000307
16,6902.29,0.75261,0.61902,0.88401,0.96292,0.98885,0.99314,0.81033,0.60527,0.51361,0.84547,0.0002575,0.0002575,0.0002575
17,7097.6,0.75722,0.59535,0.87294,0.94612,0.93507,0.96068,0.80269,0.58765,0.50632,0.83885,0.000208,0.000208,0.000208
