epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.75,1.27049,2.12621,1.06213,0.57582,0.69343,0.66592,0.42018,1.33367,2.60197,1.07314,0.000326667,0.000326667,0.06766
2,875.66,1.15831,1.06115,1.02521,0.77631,0.81739,0.82071,0.62512,0.97724,1.00826,0.92745,0.00062733,0.00062733,0.0346273
3,1307.17,1.13222,0.99031,1.02595,0.80017,0.85628,0.84235,0.614,0.92271,0.9226,0.90784,0.000894993,0.000894993,0.00156166
4,1736.54,1.10102,0.91474,0.99555,0.80091,0.92368,0.86846,0.62673,0.98816,0.87409,0.90976,0.0008515,0.0008515,0.0008515
5,2164.39,1.07178,0.84775,1.00405,0.85124,0.92041,0.90007,0.71594,0.77821,0.6367,0.8708,0.000802,0.000802,0.000802
6,2591.67,1.00819,0.77471,0.96679,0.87049,0.93452,0.90323,0.72853,0.7637,0.6421,0.86685,0.0007525,0.0007525,0.0007525
7,3016.8,0.92791,0.73312,0.94679,0.85009,0.94048,0.90391,0.74775,0.73343,0.55915,0.86416,0.000703,0.000703,0.000703
8,3453.59,0.9433,0.72887,0.95442,0.8099,0.95455,0.91501,0.73258,0.74468,0.53254,0.86276,0.0006535,0.0006535,0.0006535
9,3884.92,0.95588,0.71747,0.95764,0.84568,0.96429,0.92976,0.7321,0.79505,0.5485,0.86387,0.000604,0.000604,0.000604
10,4312.55,0.87019,0.66908,0.93403,0.87096,0.95238,0.93676,0.78014,0.64162,0.47551,0.84119,0.0005545,0.0005545,0.0005545
11,4737.77,0.83815,0.6218,0.89221,0.84816,0.98791,0.91304,0.75175,0.68476,0.47552,0.83898,0.000505,0.000505,0.000505
12,5163,0.85693,0.60419,0.90102,0.90786,0.9286,0.9461,0.77878,0.65189,0.48013,0.84205,0.0004555,0.0004555,0.0004555
13,5598.07,0.80791,0.57458,0.90389,0.91845,0.95784,0.94833,0.77167,0.67013,0.4459,0.84776,0.000406,0.000406,0.000406
14,6015.2,0.7983,0.5696,0.89505,0.92106,0.96385,0.95995,0.8143,0.6068,0.42778,0.8304,0.0003565,0.0003565,0.0003565
15,6421.99,0.76913,0.53556,0.88781,0.90683,0.97065,0.94409,0.79671,0.58616,0.39885,0.82577,0.000307,0.000307,0.000307
16,6834.23,0.77241,0.53179,0.89261,0.91879,0.96916,0.9753,0.82762,0.5634,0.38851,0.82209,0.0002575,0.0002575,0.0002575
17,7243.01,0.71847,0.49437,0.87082,0.90278,0.98887,0.95851,0.82882,0.53806,0.37606,0.82169,0.000208,0.000208,0.000208
18,7652.8,0.69159,0.49182,0.86689,0.89905,0.98003,0.96092,0.83625,0.49722,0.35064,0.8138,0.0001585,0.0001585,0.0001585
19,8063.45,0.66576,0.46145,0.87217,0.9343,0.9881,0.97982,0.85231,0.50279,0.35003,0.81048,0.000109,0.000109,0.000109
20,8471.57,0.67569,0.45615,0.87556,0.91651,0.99736,0.97842,0.86014,0.46807,0.32688,0.80518,5.95e-05,5.95e-05,5.95e-05
